home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Egypt,Uruguay,0,0.3,,1,1.6,,Héctor Cúper,Ahmed Fathy,Óscar Tabárez,Diego Godín,,José María Giménez · 89,27015,"Stadion Central'nyj, Yekaterinburg",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Milorad Mažić (4th) · Danny Makkelie (VAR),2018-06-15,0–1,Björn Kuipers,,Group stage,Russia,2018
Morocco,IR Iran,0,0.7,,1,1.0,,Hervé Renard,Medhi Benatia,Carlos Queiroz,Masoud Shojaei,,Aziz Bouhaddouz (OG) · 90+5,62548,"Gazprom Arena, Sankt-Petersburg",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Sergey Karasev (4th) · Felix Zwayer (VAR),2018-06-15,0–1,Cüneyt Çakιr,,Group stage,Russia,2018
Portugal,Spain,3,1.2,,3,1.6,,Fernando Santos,Cristiano Ronaldo,Fernando Hierro,Sergio Ramos,Cristiano Ronaldo (P) · 4|Cristiano Ronaldo · 44|Cristiano Ronaldo · 88,Diego Costa · 24|Diego Costa · 55|Nacho · 58,43866,"Olimpiyskiy Stadion Fisht, Sochi",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Ryūji Satō (4th) · Massimiliano Irrati (VAR),2018-06-15,3–3,Gianluca Rocchi,,Group stage,Russia,2018
Russia,Saudi Arabia,5,1.7,,0,0.2,,Stanislav Cherchesov,Igor Akinfeev,Juan Antonio Pizzi,Osama Hawsawi,Yuri Gazinskiy · 12|Denis Cheryshev · 43|Artem Dzyuba · 71|Denis Cheryshev · 90+1|Aleksandr Golovin · 90+5,,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Néstor Pitana (Referee) · Juan Pablo Belatti (AR1) · Hernán Maidana (AR2) · Sandro Ricci (4th) · Massimiliano Irrati (VAR),2018-06-14,5–0,Néstor Pitana,,Group stage,Russia,2018
Germany,Argentina,1,,,0,,,Joachim Löw,,Alejandro Sabella,,Mario Götze · 113,,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Carlos Vera (4th),2014-07-13,1–0,Nicola Rizzoli,Required Extra Time,Final,Brazil,2014
Brazil,Netherlands,0,,,3,,,Luiz Felipe Scolari,,Louis van Gaal,,,Robin van Persie (P) · 3|Daley Blind · 17|Georginio Wijnaldum · 90+1,68034,"Estádio Nacional de Brasília, Brasília",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Yuichi Nishimura (4th),2014-07-12,0–3,Djamel Haïmoudi,,Third-place match,Brazil,2014
Netherlands,Argentina,0,,2.0,0,,4.0,Louis van Gaal,,Alejandro Sabella,,,,63267,"Arena Corinthians, São Paulo",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Jonas Eriksson (4th),2014-07-09,(2) 0–0 (4),Cüneyt Çakιr,Argentina won on penalty kicks following extra time,Semi-finals,Brazil,2014
Brazil,Germany,1,,,7,,,Luiz Felipe Scolari,,Joachim Löw,,Oscar · 90,Thomas Müller · 11|Miroslav Klose · 23|Toni Kroos · 24|Toni Kroos · 26|Sami Khedira · 29|André Schürrle · 69|André Schürrle · 79,58141,"Estádio Governador Magalhães Pinto, Belo Horizonte",Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th),2014-07-08,1–7,Marco Antonio Rodríguez,,Semi-finals,Brazil,2014
Argentina,Belgium,1,,,0,,,Alejandro Sabella,,Marc Wilmots,,Gonzalo Higuaín · 8,,68551,"Estádio Nacional de Brasília, Brasília",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Benjamin Williams (4th),2014-07-05,1–0,Nicola Rizzoli,,Quarter-finals,Brazil,2014
Netherlands,Costa Rica,0,,4.0,0,,3.0,Louis van Gaal,,Jorge Luis Pinto,,,,51179,"Itaipava Arena Fonte Nova, Salvador",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Noumandiez Doué (4th),2014-07-05,(4) 0–0 (3),Ravshan Irmatov,Netherlands won on penalty kicks following extra time,Quarter-finals,Brazil,2014
France,Germany,0,,,1,,,Didier Deschamps,,Joachim Löw,,,Mats Hummels · 13,74240,"Estadio Jornalista Mário Filho, Rio de Janeiro",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Jonas Eriksson (4th),2014-07-04,0–1,Néstor Pitana,,Quarter-finals,Brazil,2014
Brazil,Colombia,2,,,1,,,Luiz Felipe Scolari,,José Pekerman,,Thiago Silva · 7|David Luiz · 69,James Rodríguez (P) · 80,60342,"Estádio Castelão, Fortaleza",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Svein Oddvar Moen (4th),2014-07-04,2–1,Carlos Velasco,,Quarter-finals,Brazil,2014
Argentina,Switzerland,1,,,0,,,Alejandro Sabella,,Ottmar Hitzfeld,,Ángel Di María · 118,,63255,"Arena Corinthians, São Paulo",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th),2014-07-01,1–0,Jonas Eriksson,Required Extra Time,Round of 16,Brazil,2014
Belgium,United States,2,,,1,,,Marc Wilmots,,Jürgen Klinsmann,,Kevin De Bruyne · 93|Romelu Lukaku · 105,Julian Green · 107,51227,"Itaipava Arena Fonte Nova, Salvador",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Norbert Hauata (4th),2014-07-01,2–1,Djamel Haïmoudi,Required Extra Time,Round of 16,Brazil,2014
France,Nigeria,2,,,0,,,Didier Deschamps,,Stephen Keshi,,Paul Pogba · 79|Joseph Yobo (OG) · 90+2,,67882,"Estádio Nacional de Brasília, Brasília",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th),2014-06-30,2–0,Mark Geiger,,Round of 16,Brazil,2014
Germany,Algeria,2,,,1,,,Joachim Löw,,Vahid Halilhodžić,,André Schürrle · 92|Mesut Özil · 119,Abdelmoumene Djabou · 120+1,43063,"Estádio José Pinheiro Borba, Porto Alegre",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Walter López (4th),2014-06-30,2–1,Sandro Ricci,Required Extra Time,Round of 16,Brazil,2014
Netherlands,Mexico,2,,,1,,,Louis van Gaal,,Miguel Herrera,,Wesley Sneijder · 88|Klaas-Jan Huntelaar (P) · 90+4,Giovani dos Santos · 48,58817,"Estádio Castelão, Fortaleza",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Carlos Vera (4th),2014-06-29,2–1,Pedro Proença,,Round of 16,Brazil,2014
Costa Rica,Greece,1,,5.0,1,,3.0,Jorge Luis Pinto,,Fernando Santos,,Bryan Ruiz · 52|Óscar Duarte · 66,Sokratis Papastathopoulos · 90+1,41242,"Itaipava Arena Pernambuco, Recife",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Nawaf Shukralla (4th),2014-06-29,(5) 1–1 (3),Benjamin Williams,Costa Rica won on penalty kicks following extra time,Round of 16,Brazil,2014
Brazil,Chile,1,,3.0,1,,2.0,Luiz Felipe Scolari,,Jorge Sampaoli,,David Luiz · 18,Alexis Sánchez · 32,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Felix Brych (4th),2014-06-28,(3) 1–1 (2),Howard Webb,Brazil won on penalty kicks following extra time,Round of 16,Brazil,2014
Colombia,Uruguay,2,,,0,,,José Pekerman,,Óscar Tabárez,,James Rodríguez · 29|James Rodríguez · 50,,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th),2014-06-28,2–0,Björn Kuipers,,Round of 16,Brazil,2014
United States,Germany,0,,,1,,,Jürgen Klinsmann,,Joachim Löw,,,Thomas Müller · 55,41876,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),2014-06-26,0–1,Ravshan Irmatov,,Group stage,Brazil,2014
Portugal,Ghana,2,,,1,,,Paulo Bento,,Kwesi Appiah,,John Boye (OG) · 31|Cristiano Ronaldo · 80,Asamoah Gyan · 57,67540,"Estádio Nacional de Brasília, Brasília",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Wilmar Roldán (4th),2014-06-26,2–1,Nawaf Shukralla,,Group stage,Brazil,2014
Korea Republic,Belgium,0,,,1,,,Hong Myung-bo,,Marc Wilmots,,,Steven Defour · 44|Jan Vertonghen · 77,61397,"Arena Corinthians, São Paulo",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Víctor Carrillo (4th),2014-06-26,0–1,Benjamin Williams,,Group stage,Brazil,2014
Algeria,Russia,1,,,1,,,Vahid Halilhodžić,,Fabio Capello,,Islam Slimani · 60,Aleksandr Kokorin · 6,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Joel Aguilar (4th),2014-06-26,1–1,Cüneyt Çakιr,,Group stage,Brazil,2014
Bosnia and Herzegovina,IR Iran,3,,,1,,,Safet Sušić,,Carlos Queiroz,,Edin Džeko · 23|Miralem Pjanić · 59|Avdija Vršajević · 83,Reza Ghoochannejad · 82,48011,"Itaipava Arena Fonte Nova, Salvador",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Enrique Osses (4th),2014-06-25,3–1,Carlos Velasco,,Group stage,Brazil,2014
Nigeria,Argentina,2,,,3,,,Stephen Keshi,,Alejandro Sabella,,Ahmed Musa · 4|Ahmed Musa · 47,Lionel Messi · 3|Lionel Messi · 45+1|Marcos Rojo · 50,43285,"Estádio José Pinheiro Borba, Porto Alegre",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Svein Oddvar Moen (4th),2014-06-25,2–3,Nicola Rizzoli,,Group stage,Brazil,2014
Honduras,Switzerland,0,,,3,,,Luis Suárez,,Ottmar Hitzfeld,,,Xherdan Shaqiri · 6|Xherdan Shaqiri · 31|Xherdan Shaqiri · 71,40322,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Milorad Mažić (4th),2014-06-25,0–3,Néstor Pitana,,Group stage,Brazil,2014
Ecuador,France,0,,,0,,,Reinaldo Rueda,,Didier Deschamps,,Antonio Valencia · 50,,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro",Noumandiez Doué (Referee) · Songuifolo Yéo (AR1) · Jean-Claude Birumushahu (AR2) · Björn Kuipers (4th),2014-06-25,0–0,Noumandiez Doué,,Group stage,Brazil,2014
Costa Rica,England,0,,,0,,,Jorge Luis Pinto,,Roy Hodgson,,,,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Alireza Faghani (4th),2014-06-24,0–0,Djamel Haïmoudi,,Group stage,Brazil,2014
Italy,Uruguay,0,,,1,,,Cesare Prandelli,,Óscar Tabárez,,Claudio Marchisio · 59,Diego Godín · 81,39706,"Arena das Dunas, Natal",Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th),2014-06-24,0–1,Marco Antonio Rodríguez,,Group stage,Brazil,2014
Japan,Colombia,1,,,4,,,Alberto Zaccheroni,,José Pekerman,,Shinji Okazaki · 45+1,Juan Cuadrado (P) · 17|Jackson Martínez · 55|Jackson Martínez · 82|James Rodríguez · 90,40340,"Arena Pantanal, Cuiabá",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Roberto Moreno (4th),2014-06-24,1–4,Pedro Proença,,Group stage,Brazil,2014
Greece,Côte d'Ivoire,2,,,1,,,Fernando Santos,,Sabri Lamouchi,,Andreas Samaris · 42|Georgios Samaras (P) · 90+3,Wilfried Bony · 74,59095,"Estádio Castelão, Fortaleza",Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Sandro Ricci (4th),2014-06-24,2–1,Carlos Vera,,Group stage,Brazil,2014
Australia,Spain,0,,,3,,,Ange Postecoglou,,Del Bosque,,,David Villa · 36|Fernando Torres · 69|Juan Mata · 82,39375,"Estádio Joaquim Américo Guimarães, Curitiba",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Norbert Hauata (4th),2014-06-23,0–3,Nawaf Shukralla,,Group stage,Brazil,2014
Netherlands,Chile,2,,,0,,,Louis van Gaal,,Jorge Sampaoli,,Leroy Fer · 77|Memphis Depay · 90+2,,62996,"Arena Corinthians, São Paulo",Bakary Papa Gassama (Referee) · Evarist Menkouande (AR1) · Félicien Kabanda (AR2) · Joel Aguilar (4th),2014-06-23,2–0,Bakary Papa Gassama,,Group stage,Brazil,2014
Croatia,Mexico,1,,,3,,,Niko Kovač,,Miguel Herrera,,Ivan Perišić · 87|Ante Rebić · 89,Rafael Márquez · 72|Andrés Guardado · 75|Javier Hernández · 82,41212,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),2014-06-23,1–3,Ravshan Irmatov,,Group stage,Brazil,2014
Cameroon,Brazil,1,,,4,,,Volker Finke,,Luiz Felipe Scolari,,Joël Matip · 26,Neymar · 17|Neymar · 35|Fred · 49|Fernandinho · 84,69112,"Estádio Nacional de Brasília, Brasília",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th),2014-06-23,1–4,Jonas Eriksson,,Group stage,Brazil,2014
Belgium,Russia,1,,,0,,,Marc Wilmots,,Fabio Capello,,Divock Origi · 88,,73819,"Estadio Jornalista Mário Filho, Rio de Janeiro",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Carlos Vera (4th),2014-06-22,1–0,Felix Brych,,Group stage,Brazil,2014
Korea Republic,Algeria,2,,,4,,,Hong Myung-bo,,Vahid Halilhodžić,,Son Heung-min · 50|Koo Ja-cheol · 72,Islam Slimani · 26|Rafik Halliche · 28|Abdelmoumene Djabou · 38|Yacine Brahimi · 62,42732,"Estádio José Pinheiro Borba, Porto Alegre",Wilmar Roldán (Referee) · Eduardo Díaz (AR1) · Christian Lescano (AR2) · Alireza Faghani (4th),2014-06-22,2–4,Wilmar Roldán,,Group stage,Brazil,2014
United States,Portugal,2,,,2,,,Jürgen Klinsmann,,Paulo Bento,,Jermaine Jones · 64|Clint Dempsey · 81,Nani · 5|Silvestre Varela · 90+5,40123,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Walter López (4th),2014-06-22,2–2,Néstor Pitana,,Group stage,Brazil,2014
Argentina,IR Iran,1,,,0,,,Alejandro Sabella,,Carlos Queiroz,,Lionel Messi · 90+1,,57698,"Estádio Governador Magalhães Pinto, Belo Horizonte",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Norbert Hauata (4th),2014-06-21,1–0,Milorad Mažić,,Group stage,Brazil,2014
Germany,Ghana,2,,,2,,,Joachim Löw,,Kwesi Appiah,,Mario Götze · 51|Miroslav Klose · 71,André Ayew · 54|Asamoah Gyan · 63,59621,"Estádio Castelão, Fortaleza",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Víctor Carrillo (4th),2014-06-21,2–2,Sandro Ricci,,Group stage,Brazil,2014
Nigeria,Bosnia and Herzegovina,1,,,0,,,Stephen Keshi,,Safet Sušić,,Peter Odemwingie · 29,,40499,"Arena Pantanal, Cuiabá",Peter O'Leary (Referee) · Jan-Hendrik Hintz (AR1) · Mark Rule (AR2) · Roberto Moreno (4th),2014-06-21,1–0,Peter O'Leary,,Group stage,Brazil,2014
Italy,Costa Rica,0,,,1,,,Cesare Prandelli,,Jorge Luis Pinto,,,Bryan Ruiz · 44,40285,"Itaipava Arena Pernambuco, Recife",Enrique Osses (Referee) · Carlos Astroza (AR1) · Sergio Román (AR2) · Alioum Alioum (4th),2014-06-20,0–1,Enrique Osses,,Group stage,Brazil,2014
Switzerland,France,2,,,5,,,Ottmar Hitzfeld,,Didier Deschamps,,Blerim Džemaili · 81|Granit Xhaka · 87,Olivier Giroud · 17|Blaise Matuidi · 18|Mathieu Valbuena · 40|Karim Benzema · 67|Moussa Sissoko · 73,51003,"Itaipava Arena Fonte Nova, Salvador",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th),2014-06-20,2–5,Björn Kuipers,,Group stage,Brazil,2014
Honduras,Ecuador,1,,,2,,,Luis Suárez,,Reinaldo Rueda,,Carlo Costly · 31,Enner Valencia · 34|Enner Valencia · 65,39224,"Estádio Joaquim Américo Guimarães, Curitiba",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Yuichi Nishimura (4th),2014-06-20,1–2,Benjamin Williams,,Group stage,Brazil,2014
Colombia,Côte d'Ivoire,2,,,1,,,José Pekerman,,Sabri Lamouchi,,James Rodríguez · 64|Juan Quintero · 70,Gervinho · 73,68748,"Estádio Nacional de Brasília, Brasília",Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Víctor Carrillo (4th),2014-06-19,2–1,Howard Webb,,Group stage,Brazil,2014
Uruguay,England,2,,,1,,,Óscar Tabárez,,Roy Hodgson,,Luis Suárez · 39|Luis Suárez · 85,Wayne Rooney · 75,62575,"Arena Corinthians, São Paulo",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Alireza Faghani (4th),2014-06-19,2–1,Carlos Velasco,,Group stage,Brazil,2014
Japan,Greece,0,,,0,,,Alberto Zaccheroni,,Fernando Santos,,,Kostas Katsouranis · 38,39485,"Arena das Dunas, Natal",Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Norbert Hauata (4th),2014-06-19,0–0,Joel Aguilar,,Group stage,Brazil,2014
Australia,Netherlands,2,,,3,,,Ange Postecoglou,,Louis van Gaal,,Tim Cahill · 21|Mile Jedinak (P) · 54,Arjen Robben · 20|Robin van Persie · 58|Memphis Depay · 68,42877,"Estádio José Pinheiro Borba, Porto Alegre",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Bakary Papa Gassama (4th),2014-06-18,2–3,Djamel Haïmoudi,,Group stage,Brazil,2014
Spain,Chile,0,,,2,,,Del Bosque,,Jorge Sampaoli,,,Eduardo Vargas · 20|Charles Aránguiz · 43,74101,"Estadio Jornalista Mário Filho, Rio de Janeiro",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Nawaf Shukralla (4th),2014-06-18,0–2,Mark Geiger,,Group stage,Brazil,2014
Cameroon,Croatia,0,,,4,,,Volker Finke,,Niko Kovač,,Alex Song · 40,Ivica Olić · 11|Ivan Perišić · 48|Mario Mandžukić · 61|Mario Mandžukić · 73,39982,"Arena da Amazônia, Manaus",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Walter López (4th),2014-06-18,0–4,Pedro Proença,,Group stage,Brazil,2014
Belgium,Algeria,2,,,1,,,Marc Wilmots,,Vahid Halilhodžić,,Marouane Fellaini · 70|Dries Mertens · 80,Sofiane Feghouli (P) · 25,56800,"Estádio Governador Magalhães Pinto, Belo Horizonte",Marcos Quintero (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Alireza Faghani (4th),2014-06-17,2–1,Marcos Quintero,,Group stage,Brazil,2014
Brazil,Mexico,0,,,0,,,Luiz Felipe Scolari,,Miguel Herrera,,,,60342,"Estádio Castelão, Fortaleza",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Svein Oddvar Moen (4th),2014-06-17,0–0,Cüneyt Çakιr,,Group stage,Brazil,2014
Russia,Korea Republic,1,,,1,,,Fabio Capello,,Hong Myung-bo,,Aleksandr Kerzhakov · 74,Lee Keun-ho · 68,37603,"Arena Pantanal, Cuiabá",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Roberto Moreno (4th),2014-06-17,1–1,Néstor Pitana,,Group stage,Brazil,2014
Germany,Portugal,4,,,0,,,Joachim Löw,,Paulo Bento,,Thomas Müller (P) · 12|Mats Hummels · 32|Thomas Müller · 45+1|Thomas Müller · 78,Pepe · 37,51081,"Itaipava Arena Fonte Nova, Salvador",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Alioum Alioum (4th),2014-06-16,4–0,Milorad Mažić,,Group stage,Brazil,2014
IR Iran,Nigeria,0,,,0,,,Carlos Queiroz,,Stephen Keshi,,,,39081,"Estádio Joaquim Américo Guimarães, Curitiba",Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Wilmar Roldán (4th),2014-06-16,0–0,Carlos Vera,,Group stage,Brazil,2014
Ghana,United States,1,,,2,,,Kwesi Appiah,,Jürgen Klinsmann,,André Ayew · 82,Clint Dempsey · 1|John Brooks · 86,39760,"Arena das Dunas, Natal",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Norbert Hauata (4th),2014-06-16,1–2,Jonas Eriksson,,Group stage,Brazil,2014
Switzerland,Ecuador,2,,,1,,,Ottmar Hitzfeld,,Reinaldo Rueda,,Admir Mehmedi · 48|Haris Seferović · 90+3,Enner Valencia · 22,68351,"Estádio Nacional de Brasília, Brasília",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Svein Oddvar Moen (4th),2014-06-15,2–1,Ravshan Irmatov,,Group stage,Brazil,2014
France,Honduras,3,,,0,,,Didier Deschamps,,Luis Suárez,,Karim Benzema (P) · 45|Noel Valladares (OG) · 48|Karim Benzema · 72,Wilson Palacios · 43,43012,"Estádio José Pinheiro Borba, Porto Alegre",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Peter O'Leary (4th),2014-06-15,3–0,Sandro Ricci,,Group stage,Brazil,2014
Argentina,Bosnia and Herzegovina,2,,,1,,,Alejandro Sabella,,Safet Sušić,,Sead Kolašinac (OG) · 3|Lionel Messi · 65,Vedad Ibišević · 85,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Djamel Haïmoudi (4th),2014-06-15,2–1,Joel Aguilar,,Group stage,Brazil,2014
Colombia,Greece,3,,,0,,,José Pekerman,,Fernando Santos,,Pablo Armero · 6|Teófilo Gutiérrez · 58|James Rodríguez · 90+3,,57174,"Estádio Governador Magalhães Pinto, Belo Horizonte",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th),2014-06-14,3–0,Mark Geiger,,Group stage,Brazil,2014
Uruguay,Costa Rica,1,,,3,,,Óscar Tabárez,,Jorge Luis Pinto,,Edinson Cavani (P) · 24|Maxi Pereira · 90+4,Joel Campbell · 54|Óscar Duarte · 57|Marco Ureña · 84,58679,"Estádio Castelão, Fortaleza",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Víctor Carrillo (4th),2014-06-14,1–3,Felix Brych,,Group stage,Brazil,2014
England,Italy,1,,,2,,,Roy Hodgson,,Cesare Prandelli,,Daniel Sturridge · 37,Claudio Marchisio · 35|Mario Balotelli · 50,39800,"Arena da Amazônia, Manaus",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Walter López (4th),2014-06-14,1–2,Björn Kuipers,,Group stage,Brazil,2014
